x, y, theta
1.539523699999999939e+00,6.857199999999999407e-02,8.050000047810718229e+01
1.548129400000000100e+00,7.001979999999999316e-02,8.040000056881702051e+01
1.556732599999999911e+00,7.148269999999999624e-02,8.030000004905332389e+01
1.565333199999999980e+00,7.296049999999999758e-02,8.020000012901734010e+01
1.573931200000000086e+00,7.445340000000000291e-02,8.010000011640566697e+01
1.582526600000000006e+00,7.596120000000000649e-02,8.000000009909469156e+01
1.591119299999999903e+00,7.748410000000000020e-02,7.990000050505828710e+01
1.599709400000000059e+00,7.902199999999999502e-02,7.980000009827880092e+01
1.608296799999999971e+00,8.057480000000000198e-02,7.969999990693084158e+01
1.616881400000000024e+00,8.214259999999999617e-02,7.960000055192250557e+01
1.625463300000000055e+00,8.372549999999999437e-02,7.950000039139086994e+01
1.634042500000000064e+00,8.532330000000000469e-02,7.939999953580245062e+01
1.642618799999999935e+00,8.693599999999999939e-02,7.929999993783462742e+01
1.651192299999999946e+00,8.856369999999999520e-02,7.919999995562051254e+01
1.659762900000000041e+00,9.020640000000000602e-02,7.910000040809579502e+01
1.668330700000000055e+00,9.186410000000000409e-02,7.899999986296536747e+01
1.676895500000000094e+00,9.353670000000000040e-02,7.890000048351470241e+01
1.685457500000000053e+00,9.522419999999999496e-02,7.879999971886462617e+01
1.694016399999999978e+00,9.692670000000000452e-02,7.870000041521201695e+01
1.702572399999999986e+00,9.864409999999999845e-02,7.860000024267496599e+01
1.711125400000000019e+00,1.003764999999999935e-01,7.849999979418285534e+01
1.719675300000000018e+00,1.021238000000000007e-01,7.840000011408328362e+01
1.728222200000000042e+00,1.038859000000000032e-01,7.830000000874089494e+01
1.736766000000000032e+00,1.056630999999999959e-01,7.819999960003124784e+01
1.745306599999999930e+00,1.074550999999999978e-01,7.810000040246747233e+01
1.753844200000000075e+00,1.092619999999999980e-01,7.799999963677649362e+01
1.762378500000000070e+00,1.110837999999999964e-01,7.790000036167565156e+01
1.770909700000000031e+00,1.129204999999999931e-01,7.780000003068457204e+01
1.779437600000000064e+00,1.147721000000000019e-01,7.770000057914315050e+01
1.787962400000000063e+00,1.166385999999999951e-01,7.759999946225799761e+01
1.796483800000000075e+00,1.185200000000000004e-01,7.749999973243876639e+01
1.805001899999999937e+00,1.204162000000000010e-01,7.740000021361690585e+01
1.813516700000000093e+00,1.223272999999999999e-01,7.730000035329169350e+01
1.822028200000000098e+00,1.242531999999999942e-01,7.720000009891315074e+01
1.830536299999999894e+00,1.261940000000000006e-01,7.710000001108515733e+01
1.839040999999999926e+00,1.281497000000000053e-01,7.699999978206416529e+01
1.847542299999999971e+00,1.301201999999999914e-01,7.689999936383239287e+01
1.856040099999999970e+00,1.321054999999999868e-01,7.679999957013889400e+01
1.864534399999999925e+00,1.341055999999999915e-01,7.670000009772726912e+01
1.873025200000000057e+00,1.361206000000000083e-01,7.660000037777170689e+01
1.881512499999999921e+00,1.381504000000000065e-01,7.650000036868290465e+01
1.889996299999999962e+00,1.401949999999999863e-01,7.639999976720594077e+01
1.898476400000000064e+00,1.422544000000000031e-01,7.630000049672338491e+01
1.906952999999999898e+00,1.443286000000000013e-01,7.620000002547949691e+01
1.915425900000000015e+00,1.464176000000000089e-01,7.610000027496649011e+01
1.923895200000000028e+00,1.485213999999999979e-01,7.599999982721591607e+01
1.932360800000000101e+00,1.506398999999999933e-01,7.589999976813901128e+01
1.940822599999999953e+00,1.527733000000000008e-01,7.580000034616224980e+01
1.949280799999999925e+00,1.549213000000000118e-01,7.569999987620299464e+01
1.957735199999999898e+00,1.570842000000000072e-01,7.559999943018178215e+01
1.966185700000000036e+00,1.592618000000000089e-01,7.550000037796669972e+01
1.974632500000000013e+00,1.614540999999999893e-01,7.540000019846866053e+01
1.983075399999999933e+00,1.636612000000000067e-01,7.530000051746885958e+01
1.991514500000000076e+00,1.658831000000000055e-01,7.519999991798991346e+01
1.999949699999999941e+00,1.681196000000000079e-01,7.509999978917703345e+01
2.008380900000000135e+00,1.703708999999999918e-01,7.500000034725333364e+01
2.016808300000000109e+00,1.726368000000000069e-01,7.489999966592458236e+01
2.025231600000000132e+00,1.749175000000000035e-01,7.480000016586568279e+01
2.033650999999999875e+00,1.772129000000000065e-01,7.469999962665210091e+01
2.042066300000000112e+00,1.795229999999999881e-01,7.459999995457638988e+01
2.050477599999999789e+00,1.818477000000000010e-01,7.450000004520839525e+01
2.058884799999999959e+00,1.841871999999999954e-01,7.440000008688727462e+01
2.067287900000000178e+00,1.865412999999999932e-01,7.430000038757469838e+01
2.075686900000000001e+00,1.889099999999999946e-01,7.420000064661778083e+01
2.084081799999999873e+00,1.912935000000000052e-01,7.409999993549618580e+01
2.092472499999999958e+00,1.936914999999999887e-01,7.399999999112228011e+01
2.100858999999999810e+00,1.961042000000000063e-01,7.389999988141677534e+01
2.109241200000000038e+00,1.985316000000000025e-01,7.380000039873928586e+01
2.117619299999999871e+00,2.009734999999999994e-01,7.369999967689261666e+01
2.125992999999999800e+00,2.034301000000000026e-01,7.360000007183701598e+01
2.134362400000000104e+00,2.059013000000000093e-01,7.350000049888642195e+01
2.142727600000000177e+00,2.083870999999999918e-01,7.339999955591264325e+01
2.151088300000000064e+00,2.108875000000000055e-01,7.330000023341952442e+01
2.159444699999999884e+00,2.134024999999999950e-01,7.320000002998818900e+01
2.167796699999999799e+00,2.159320999999999879e-01,7.309999973809634355e+01
2.176144199999999973e+00,2.184762000000000093e-01,7.300000048294435828e+01
2.184487299999999799e+00,2.210349000000000064e-01,7.290000053063553764e+01
2.192826000000000164e+00,2.236082000000000070e-01,7.279999957549934209e+01
2.201160100000000064e+00,2.261960000000000082e-01,7.269999984080057231e+01
2.209489699999999779e+00,2.287984000000000129e-01,7.259999958690501387e+01
2.217814699999999917e+00,2.314151999999999876e-01,7.250000028843751920e+01
2.226135199999999870e+00,2.340466999999999964e-01,7.239999951587698490e+01
2.234450999999999965e+00,2.366926000000000030e-01,7.230000018463205436e+01
2.242762200000000039e+00,2.393530000000000102e-01,7.220000055373978398e+01
2.251068800000000092e+00,2.420279999999999931e-01,7.209999996750060802e+01
2.259370699999999843e+00,2.447174000000000016e-01,7.199999991476805405e+01
2.267667900000000181e+00,2.474213000000000107e-01,7.189999973991480431e+01
2.275960299999999936e+00,2.501397000000000204e-01,7.180000022620461664e+01
2.284247999999999834e+00,2.528726000000000029e-01,7.169999997848086082e+01
2.292530900000000038e+00,2.556199000000000110e-01,7.160000014046975991e+01
2.300809000000000104e+00,2.583816999999999919e-01,7.150000004706591028e+01
2.309082300000000032e+00,2.611578999999999984e-01,7.139999975657855202e+01
2.317350699999999986e+00,2.639485999999999777e-01,7.129999968553919132e+01
2.325614199999999965e+00,2.667536999999999825e-01,7.119999989413997810e+01
2.333872799999999970e+00,2.695732000000000128e-01,7.110000007896361751e+01
2.342126500000000000e+00,2.724071000000000131e-01,7.099999993659319841e+01
2.350375200000000220e+00,2.752553999999999834e-01,7.090000024644952248e+01
2.358618900000000185e+00,2.781180999999999792e-01,7.080000070316495453e+01
2.366857700000000175e+00,2.809952000000000005e-01,7.069999991985299914e+01
2.375091400000000075e+00,2.838866999999999918e-01,7.059999975484133472e+01
2.383319999999999883e+00,2.867925000000000058e-01,7.050000028329749568e+01
2.391543599999999881e+00,2.897126999999999897e-01,7.039999973960539137e+01
2.399761999999999951e+00,2.926472999999999991e-01,7.029999997611791684e+01
2.407975299999999930e+00,2.955961999999999756e-01,7.019999999346168806e+01
2.416183499999999817e+00,2.985593999999999748e-01,7.009999948994045837e+01
2.424386399999999941e+00,3.015368999999999966e-01,7.000000031748427887e+01
2.432584199999999974e+00,3.045286999999999855e-01,6.990000001806188834e+01
2.440776699999999799e+00,3.075348999999999999e-01,6.980000004518750245e+01
2.448964000000000141e+00,3.105552999999999786e-01,6.969999980781032889e+01
2.457145999999999830e+00,3.135900999999999827e-01,6.959999928301816396e+01
2.465322599999999920e+00,3.166391000000000067e-01,6.950000003535478754e+01
2.473494000000000081e+00,3.197022999999999948e-01,6.939999961725119704e+01
2.481659899999999919e+00,3.227798000000000056e-01,6.930000054141028443e+01
2.489820499999999992e+00,3.258715999999999835e-01,6.920000035534378924e+01
2.497975700000000021e+00,3.289775999999999812e-01,6.910000023258940871e+01
2.506125500000000006e+00,3.320979000000000014e-01,6.899999946019816832e+01
2.514269800000000110e+00,3.352322999999999831e-01,6.889999962442321646e+01
2.522408599999999890e+00,3.383809999999999873e-01,6.879999959764163009e+01
2.530541899999999789e+00,3.415439000000000114e-01,6.869999948607247120e+01
2.538669599999999971e+00,3.447208999999999968e-01,6.860000047030625581e+01
2.546791799999999828e+00,3.479122000000000048e-01,6.850000034316268227e+01
2.554908499999999805e+00,3.511175999999999742e-01,6.839999963830778995e+01
2.563019499999999784e+00,3.543371000000000159e-01,6.830000018632277659e+01
2.571124900000000046e+00,3.575709000000000248e-01,6.819999976886438731e+01
2.579224599999999867e+00,3.608186999999999922e-01,6.810000041920559966e+01
2.587318699999999971e+00,3.640806999999999793e-01,6.799999991862590321e+01
2.595406999999999798e+00,3.673567999999999834e-01,6.790000051509896650e+01
2.603489600000000070e+00,3.706471000000000071e-01,6.780000040914633530e+01
2.611566499999999902e+00,3.739513999999999894e-01,6.770000016158624589e+01
2.619637599999999900e+00,3.772697999999999885e-01,6.760000009748182492e+01
2.627702900000000064e+00,3.806023000000000045e-01,6.749999991129037369e+01
2.635762300000000113e+00,3.839488999999999819e-01,6.740000035539250689e+01
2.643815899999999885e+00,3.873095999999999761e-01,6.730000006479424712e+01
2.651863599999999987e+00,3.906841999999999815e-01,6.720000067846440572e+01
2.659905499999999812e+00,3.940730000000000066e-01,6.709999950631117827e+01
2.667941400000000129e+00,3.974756999999999874e-01,6.699999969018280410e+01
2.675971300000000053e+00,4.008924999999999850e-01,6.690000003178346333e+01
2.683995299999999862e+00,4.043232999999999966e-01,6.679999961910743878e+01
2.692013199999999884e+00,4.077681000000000222e-01,6.670000025478437067e+01
2.700025199999999792e+00,4.112269000000000063e-01,6.659999952844437132e+01
2.708031099999999913e+00,4.146996000000000016e-01,6.649999969649759635e+01
2.716030899999999804e+00,4.181864000000000137e-01,6.639999953987833692e+01
2.724024599999999907e+00,4.216869999999999785e-01,6.630000012784495311e+01
2.732012199999999780e+00,4.252017000000000158e-01,6.619999977706180516e+01
2.739993600000000029e+00,4.287302000000000057e-01,6.610000061544079131e+01
2.747968900000000048e+00,4.322727000000000097e-01,6.600000036548139803e+01
2.755937999999999999e+00,4.358291000000000248e-01,6.590000023411465691e+01
2.763900899999999883e+00,4.393993999999999955e-01,6.579999991737408038e+01
2.771857499999999863e+00,4.429835999999999774e-01,6.570000015568773222e+01
2.779807900000000220e+00,4.465817000000000259e-01,6.559999959906099321e+01
2.787751899999999949e+00,4.501936000000000271e-01,6.550000050422576692e+01
2.795689700000000055e+00,4.538194999999999868e-01,6.539999952986370602e+01
2.803621099999999977e+00,4.574591000000000074e-01,6.529999988526328991e+01
2.811546100000000159e+00,4.611125999999999836e-01,6.520000031109367455e+01
2.819464799999999993e+00,4.647799000000000236e-01,6.509999994150527414e+01
2.827376999999999807e+00,4.684611000000000192e-01,6.500000006836782518e+01
2.835282799999999881e+00,4.721560000000000201e-01,6.490000031472303021e+01
2.843182200000000215e+00,4.758646999999999738e-01,6.479999989462632470e+01
2.851074999999999804e+00,4.795872999999999942e-01,6.470000008690537641e+01
2.858961400000000097e+00,4.833235000000000170e-01,6.459999998183539560e+01
2.866841200000000089e+00,4.870735999999999954e-01,6.449999987540265067e+01
2.874714500000000061e+00,4.908373999999999793e-01,6.439999941044759169e+01
2.882581099999999896e+00,4.946149000000000240e-01,6.430000035150385429e+01
2.890441200000000155e+00,4.984061000000000186e-01,6.420000032940870938e+01
2.898294700000000113e+00,5.022111000000000214e-01,6.409999957386953895e+01
2.906141400000000097e+00,5.060297999999999741e-01,6.400000033853740433e+01
2.913981600000000061e+00,5.098620999999999848e-01,6.389999973192429650e+01
2.921815000000000051e+00,5.137081999999999482e-01,6.379999953158728232e+01
2.929641699999999904e+00,5.175678000000000223e-01,6.369999991956886731e+01
2.937461599999999784e+00,5.214412000000000491e-01,6.360000009870086757e+01
2.945274799999999971e+00,5.253282000000000229e-01,6.349999975224539384e+01
2.953081200000000184e+00,5.292288000000000547e-01,6.339999960442492721e+01
2.960880700000000143e+00,5.331430999999999809e-01,6.329999986100705911e+01
2.968673400000000129e+00,5.370709000000000177e-01,6.320000022136356677e+01
2.976459300000000141e+00,5.410123999999999489e-01,6.309999935086946721e+01
2.984238200000000063e+00,5.449673999999999907e-01,6.300000002361664997e+01
2.992010300000000012e+00,5.489359999999999795e-01,6.289999937421560361e+01
2.999775300000000033e+00,5.529180999999999679e-01,6.280000068100857646e+01
3.007533500000000082e+00,5.569138000000000144e-01,6.270000005766121376e+01
3.015284600000000204e+00,5.609231000000000078e-01,6.260000025324858797e+01
3.023028800000000071e+00,5.649458000000000535e-01,6.249999998187534800e+01
3.030765900000000013e+00,5.689821000000000462e-01,6.239999991768827670e+01
3.038495900000000027e+00,5.730319000000000385e-01,6.230000028208679907e+01
3.046218899999999952e+00,5.770950999999999720e-01,6.220000028989696261e+01
3.053934799999999949e+00,5.811718000000000162e-01,6.210000011977869150e+01
3.061643500000000184e+00,5.852619999999999489e-01,6.200000047756224575e+01
3.069345100000000048e+00,5.893656999999999924e-01,6.190000004363896835e+01
3.077039500000000150e+00,5.934827000000000297e-01,6.180000060497569336e+01
3.084726799999999880e+00,5.976131999999999556e-01,6.169999976790128926e+01
3.092406800000000011e+00,6.017571000000000447e-01,6.159999978753433680e+01
3.100079500000000099e+00,6.059143999999999641e-01,6.150000035755212480e+01
3.107744999999999980e+00,6.100851000000000468e-01,6.140000016552745166e+01
3.115403199999999817e+00,6.142691999999999597e-01,6.129999991313525243e+01
3.123054100000000055e+00,6.184665999999999775e-01,6.119999984609756183e+01
3.130697599999999969e+00,6.226774000000000475e-01,6.110000011275701581e+01
3.138333799999999840e+00,6.269015000000000004e-01,6.099999995720675372e+01
3.145962599999999831e+00,6.311388999999999472e-01,6.090000007965672779e+01
3.153583999999999943e+00,6.353895999999999988e-01,6.080000017613831176e+01
3.161198000000000174e+00,6.396536000000000444e-01,6.069999994268337673e+01
3.168804499999999802e+00,6.439308999999999727e-01,6.060000007366731722e+01
3.176403500000000157e+00,6.482215000000000060e-01,6.050000026218965132e+01
3.183994999999999909e+00,6.525254000000000332e-01,6.040000020134888814e+01
3.191579099999999780e+00,6.568424000000000484e-01,6.029999972437724409e+01
3.199155499999999819e+00,6.611726999999999466e-01,6.020000038196099013e+01
3.206724400000000141e+00,6.655162999999999496e-01,6.009999987447386616e+01
3.214285700000000023e+00,6.698730000000000517e-01,6.000000003335410526e+01
3.221839399999999909e+00,6.742428999999999784e-01,5.989999998445271245e+01
3.229385399999999962e+00,6.786259999999999515e-01,5.980000041350074014e+01
3.236923800000000018e+00,6.830222000000000238e-01,5.970000060159755861e+01
3.244454499999999797e+00,6.874316999999999789e-01,5.960000007790517884e+01
3.251977500000000187e+00,6.918541999999999748e-01,5.950000027437432948e+01
3.259492799999999857e+00,6.962899000000000171e-01,5.939999972705044229e+01
3.267000299999999857e+00,7.007385999999999893e-01,5.930000028368097276e+01
3.274500000000000188e+00,7.052005000000000079e-01,5.920000047036558755e+01
3.281991999999999798e+00,7.096755000000000146e-01,5.909999958160793199e+01
3.289476099999999903e+00,7.141634999999999511e-01,5.899999986962344423e+01
3.296952399999999894e+00,7.186645999999999868e-01,5.889999945781728030e+01
3.304420799999999936e+00,7.231786999999999521e-01,5.879999961445135170e+01
3.311881300000000028e+00,7.277057999999999582e-01,5.870000003603223604e+01
3.319333900000000170e+00,7.322459999999999525e-01,5.859999982202868551e+01
3.326778500000000083e+00,7.367991999999999875e-01,5.850000023961755602e+01
3.334215200000000046e+00,7.413653000000000048e-01,5.840000060661007808e+01
3.341644000000000059e+00,7.459445000000000103e-01,5.829999942033877858e+01
3.349064700000000006e+00,7.505365000000000508e-01,5.820000013158185226e+01
3.356477400000000166e+00,7.551415999999999684e-01,5.809999965127065025e+01
3.363881999999999817e+00,7.597595000000000320e-01,5.800000046121611774e+01
3.371278600000000125e+00,7.643904000000000254e-01,5.790000007320337971e+01
3.378667099999999923e+00,7.690342000000000011e-01,5.779999976093563419e+01
3.386047500000000099e+00,7.736908000000000118e-01,5.769999983204179017e+01
3.393419699999999928e+00,7.783603999999999523e-01,5.759999972640490995e+01
3.400783800000000134e+00,7.830428000000000388e-01,5.749999939600160559e+01
3.408139600000000158e+00,7.877380000000000493e-01,5.740000047197467836e+01
3.415487300000000115e+00,7.924461000000000421e-01,5.730000010057332105e+01
3.422826800000000169e+00,7.971669999999999590e-01,5.719999956111281136e+01
3.430158000000000040e+00,8.019007000000000218e-01,5.709999951288961029e+01
3.437480900000000172e+00,8.066472000000000087e-01,5.699999964981182643e+01
3.444795500000000121e+00,8.114063999999999721e-01,5.690000029157095440e+01
3.452101799999999887e+00,8.161783999999999706e-01,5.680000050963614200e+01
3.459399799999999914e+00,8.209632000000000041e-01,5.669999999791633627e+01
3.466689399999999921e+00,8.257607000000000141e-01,5.660000003780349687e+01
3.473970599999999909e+00,8.305709000000000009e-01,5.650000032493779401e+01
3.481243500000000157e+00,8.353937999999999642e-01,5.639999960049742356e+01
3.488507900000000106e+00,8.402294000000000151e-01,5.629999947014218975e+01
3.495763800000000199e+00,8.450777000000000427e-01,5.619999962619066025e+01
3.503011299999999828e+00,8.499385999999999886e-01,5.609999944896098611e+01
3.510250200000000209e+00,8.548120999999999636e-01,5.600000053910894593e+01
3.517480700000000127e+00,8.596983000000000263e-01,5.590000005034936237e+01
3.524702599999999908e+00,8.645971000000000073e-01,5.580000021799897070e+01
3.531915999999999833e+00,8.695085000000000175e-01,5.569999978934679064e+01
3.539120699999999786e+00,8.744324999999999459e-01,5.560000035272062036e+01
3.546316899999999883e+00,8.793691000000000146e-01,5.549999970989754416e+01
3.553504400000000008e+00,8.843182000000000542e-01,5.540000009539633652e+01
3.560683299999999996e+00,8.892797999999999536e-01,5.530000026257815193e+01
3.567853599999999847e+00,8.942539999999999933e-01,5.519999925632900073e+01
3.575015099999999890e+00,8.992405999999999455e-01,5.509999996152148327e+01
3.582167899999999960e+00,9.042398000000000380e-01,5.499999982188585079e+01
3.589312000000000058e+00,9.092514000000000429e-01,5.489999984578303582e+01
3.596447299999999903e+00,9.142755000000000187e-01,5.480000000942810345e+01
3.603573799999999938e+00,9.193120000000000180e-01,5.470000066701570773e+01
3.610691600000000001e+00,9.243609999999999882e-01,5.459999991758628823e+01
3.617800499999999975e+00,9.294223999999999819e-01,5.449999998789592581e+01
3.624900600000000139e+00,9.344961999999999991e-01,5.439999963963995810e+01
3.631991800000000215e+00,9.395824000000000398e-01,5.429999950032528488e+01
3.639074100000000200e+00,9.446809000000000456e-01,5.419999993369950886e+01
3.646147500000000097e+00,9.497917999999999639e-01,5.409999996612992135e+01
3.653211999999999904e+00,9.549149999999999583e-01,5.399999996460724816e+01
3.660267499999999785e+00,9.600505999999999762e-01,5.389999987815275517e+01
3.667314100000000021e+00,9.651984000000000119e-01,5.379999982555079896e+01
3.674351600000000051e+00,9.703585999999999601e-01,5.370000000021533282e+01
3.681380100000000155e+00,9.755310000000000370e-01,5.360000052620588917e+01
3.688399599999999889e+00,9.807156999999999680e-01,5.350000042150848856e+01
3.695410100000000142e+00,9.859126000000000278e-01,5.340000006412829237e+01
3.702411399999999908e+00,9.911218000000000528e-01,5.330000030638439057e+01
3.709403700000000192e+00,9.963431000000000370e-01,5.320000037363202949e+01
3.716386799999999990e+00,1.001576699999999986e+00,5.310000042698089828e+01
3.723360800000000026e+00,1.006822399999999895e+00,5.300000061815511998e+01
3.730325699999999856e+00,1.012080400000000102e+00,5.289999926553669241e+01
3.737281299999999806e+00,1.017350399999999988e+00,5.279999996436757925e+01
3.744227700000000159e+00,1.022632599999999892e+00,5.270000011264868789e+01
3.751164900000000024e+00,1.027926899999999977e+00,5.260000009881980532e+01
3.758092899999999847e+00,1.033233300000000021e+00,5.249999962009820820e+01
3.765011499999999955e+00,1.038551800000000025e+00,5.240000018950379967e+01
3.771920900000000021e+00,1.043882299999999930e+00,5.230000038435398579e+01
3.778821000000000208e+00,1.049224900000000016e+00,5.220000010974699478e+01
3.785711699999999791e+00,1.054579600000000061e+00,5.209999996348663132e+01
3.792593099999999939e+00,1.059946199999999950e+00,5.200000014347566690e+01
3.799465099999999929e+00,1.065324900000000019e+00,5.189999984038858116e+01
3.806327700000000203e+00,1.070715499999999931e+00,5.180000016142490438e+01
3.813180899999999873e+00,1.076118099999999966e+00,5.170000009572031985e+01
3.820024599999999992e+00,1.081532699999999902e+00,5.160000023596022345e+01
3.826858899999999952e+00,1.086959199999999903e+00,5.150000008961147557e+01
3.833683699999999916e+00,1.092397599999999969e+00,5.140000025158450114e+01
3.840498999999999885e+00,1.097847999999999935e+00,5.129999970102129936e+01
3.847304799999999858e+00,1.103310199999999908e+00,5.119999956492998194e+01
