# x, y, z, psi, theta
5.12,6.09,6.09,12.56,12.56
5.12,6.09,6.09,12.59,12.59
5.12,6.09,6.09,12.63,12.63
5.12,6.10,6.10,12.66,12.66
5.12,6.10,6.10,12.70,12.70
5.12,6.10,6.10,12.74,12.74
5.12,6.11,6.11,12.77,12.77
5.12,6.11,6.11,12.81,12.81
5.13,6.11,6.11,12.84,12.84
5.13,6.11,6.11,12.88,12.88
5.13,6.12,6.12,12.92,12.92
5.13,6.12,6.12,12.95,12.95
5.13,6.12,6.12,12.99,12.99
5.13,6.13,6.13,13.02,13.02
5.13,6.13,6.13,13.06,13.06
5.13,6.13,6.13,13.10,13.10
5.13,6.14,6.14,13.13,13.13
5.13,6.14,6.14,13.17,13.17
5.13,6.14,6.14,13.20,13.20
5.13,6.15,6.15,13.24,13.24
5.13,6.15,6.15,13.28,13.28
5.13,6.15,6.15,13.31,13.31
5.14,6.15,6.15,13.35,13.35
5.14,6.16,6.16,13.38,13.38
5.14,6.16,6.16,13.42,13.42
5.14,6.16,6.16,13.46,13.46
5.14,6.17,6.17,13.49,13.49
5.14,6.17,6.17,13.53,13.53
5.14,6.17,6.17,13.56,13.56
5.14,6.18,6.18,13.60,13.60
5.14,6.18,6.18,13.64,13.64
5.14,6.18,6.18,13.67,13.67
5.14,6.18,6.18,13.71,13.71
5.14,6.19,6.19,13.74,13.74
5.14,6.19,6.19,13.78,13.78
5.14,6.19,6.19,13.82,13.82
5.15,6.20,6.20,13.85,13.85
5.15,6.20,6.20,13.89,13.89
5.15,6.20,6.20,13.92,13.92
5.15,6.21,6.21,13.96,13.96
5.15,6.21,6.21,14.00,14.00
5.15,6.21,6.21,14.03,14.03
5.15,6.22,6.22,14.07,14.07
5.15,6.22,6.22,14.10,14.10
5.15,6.22,6.22,14.14,14.14
5.15,6.22,6.22,14.17,14.17
5.15,6.23,6.23,14.21,14.21
5.15,6.23,6.23,14.25,14.25
5.15,6.23,6.23,14.28,14.28
5.16,6.24,6.24,14.32,14.32
5.16,6.24,6.24,14.35,14.35
5.16,6.24,6.24,14.39,14.39
5.16,6.25,6.25,14.43,14.43
5.16,6.25,6.25,14.46,14.46
5.16,6.25,6.25,14.50,14.50
5.16,6.25,6.25,14.53,14.53
5.16,6.26,6.26,14.57,14.57
5.16,6.26,6.26,14.61,14.61
5.16,6.26,6.26,14.64,14.64
5.16,6.27,6.27,14.68,14.68
5.16,6.27,6.27,14.71,14.71
5.16,6.27,6.27,14.75,14.75
5.17,6.28,6.28,14.79,14.79
5.17,6.28,6.28,14.82,14.82
5.17,6.28,6.28,14.86,14.86
5.17,6.29,6.29,14.89,14.89
5.17,6.29,6.29,14.93,14.93
5.17,6.29,6.29,14.97,14.97
5.17,6.29,6.29,15.00,15.00
5.17,6.30,6.30,15.04,15.04
5.17,6.30,6.30,15.07,15.07
5.17,6.30,6.30,15.11,15.11
5.17,6.31,6.31,15.15,15.15
5.17,6.31,6.31,15.18,15.18
5.18,6.31,6.31,15.22,15.22
5.18,6.32,6.32,15.25,15.25
5.18,6.32,6.32,15.29,15.29
5.18,6.32,6.32,15.33,15.33
5.18,6.32,6.32,15.36,15.36
5.18,6.33,6.33,15.40,15.40
5.18,6.33,6.33,15.43,15.43
5.18,6.33,6.33,15.47,15.47
5.18,6.34,6.34,15.51,15.51
5.18,6.34,6.34,15.54,15.54
5.18,6.34,6.34,15.58,15.58
5.18,6.35,6.35,15.61,15.61
5.19,6.35,6.35,15.65,15.65
5.19,6.35,6.35,15.69,15.69
5.19,6.35,6.35,15.72,15.72
5.19,6.36,6.36,15.76,15.76
5.19,6.36,6.36,15.79,15.79
5.19,6.36,6.36,15.83,15.83
5.19,6.37,6.37,15.87,15.87
5.19,6.37,6.37,15.90,15.90
5.19,6.37,6.37,15.94,15.94
5.19,6.38,6.38,15.97,15.97
5.19,6.38,6.38,16.01,16.01
5.19,6.38,6.38,16.05,16.05
5.20,6.39,6.39,16.08,16.08
5.20,6.39,6.39,16.12,16.12
5.20,6.39,6.39,16.15,16.15
5.20,6.39,6.39,16.19,16.19
5.20,6.40,6.40,16.23,16.23
5.20,6.40,6.40,16.26,16.26
5.20,6.40,6.40,16.30,16.30
5.20,6.41,6.41,16.33,16.33
5.20,6.41,6.41,16.37,16.37
5.20,6.41,6.41,16.41,16.41
5.20,6.42,6.42,16.44,16.44
5.21,6.42,6.42,16.48,16.48
5.21,6.42,6.42,16.51,16.51
5.21,6.42,6.42,16.55,16.55
5.21,6.43,6.43,16.59,16.59
5.21,6.43,6.43,16.62,16.62
5.21,6.43,6.43,16.66,16.66
5.21,6.44,6.44,16.69,16.69
5.21,6.44,6.44,16.73,16.73
5.21,6.44,6.44,16.77,16.77
5.21,6.45,6.45,16.80,16.80
5.21,6.45,6.45,16.84,16.84
5.22,6.45,6.45,16.87,16.87
5.22,6.45,6.45,16.91,16.91
5.22,6.46,6.46,16.95,16.95
5.22,6.46,6.46,16.98,16.98
5.22,6.46,6.46,17.02,17.02
5.22,6.47,6.47,17.05,17.05
5.22,6.47,6.47,17.09,17.09
5.22,6.47,6.47,17.13,17.13
5.22,6.48,6.48,17.16,17.16
5.22,6.48,6.48,17.20,17.20
5.22,6.48,6.48,17.23,17.23
5.23,6.48,6.48,17.27,17.27
5.23,6.49,6.49,17.31,17.31
5.23,6.49,6.49,17.34,17.34
5.23,6.49,6.49,17.38,17.38
5.23,6.50,6.50,17.41,17.41
5.23,6.50,6.50,17.45,17.45
5.23,6.50,6.50,17.49,17.49
5.23,6.51,6.51,17.52,17.52
5.23,6.51,6.51,17.56,17.56
5.23,6.51,6.51,17.59,17.59
5.23,6.51,6.51,17.63,17.63
5.24,6.52,6.52,17.67,17.67
5.24,6.52,6.52,17.70,17.70
5.24,6.52,6.52,17.74,17.74
5.24,6.53,6.53,17.77,17.77
5.24,6.53,6.53,17.81,17.81
5.24,6.53,6.53,17.85,17.85
5.24,6.54,6.54,17.88,17.88
5.24,6.54,6.54,17.92,17.92
5.24,6.54,6.54,17.95,17.95
5.24,6.54,6.54,17.99,17.99
5.25,6.55,6.55,18.03,18.03
5.25,6.55,6.55,18.06,18.06
5.25,6.55,6.55,18.10,18.10
5.25,6.56,6.56,18.13,18.13
5.25,6.56,6.56,18.17,18.17
5.25,6.56,6.56,18.21,18.21
5.25,6.57,6.57,18.24,18.24
5.25,6.57,6.57,18.28,18.28
5.25,6.57,6.57,18.31,18.31
5.25,6.57,6.57,18.35,18.35
5.26,6.58,6.58,18.39,18.39
5.26,6.58,6.58,18.42,18.42
5.26,6.58,6.58,18.46,18.46
5.26,6.59,6.59,18.49,18.49
5.26,6.59,6.59,18.53,18.53
5.26,6.59,6.59,18.57,18.57
5.26,6.59,6.59,18.60,18.60
5.26,6.60,6.60,18.64,18.64
5.26,6.60,6.60,18.67,18.67
5.26,6.60,6.60,18.71,18.71
5.27,6.61,6.61,18.75,18.75
5.27,6.61,6.61,18.78,18.78
5.27,6.61,6.61,18.82,18.82
5.27,6.62,6.62,18.85,18.85
5.27,6.62,6.62,18.89,18.89
5.27,6.62,6.62,18.93,18.93
5.27,6.62,6.62,18.96,18.96
5.27,6.63,6.63,19.00,19.00
5.27,6.63,6.63,19.03,19.03
5.27,6.63,6.63,19.07,19.07
5.28,6.64,6.64,19.11,19.11
5.28,6.64,6.64,19.14,19.14
5.28,6.64,6.64,19.18,19.18
5.28,6.65,6.65,19.21,19.21
5.28,6.65,6.65,19.25,19.25
5.28,6.65,6.65,19.29,19.29
5.28,6.65,6.65,19.32,19.32
5.28,6.66,6.66,19.36,19.36
5.28,6.66,6.66,19.39,19.39
5.28,6.66,6.66,19.43,19.43
5.29,6.67,6.67,19.47,19.47
5.29,6.67,6.67,19.50,19.50
5.29,6.67,6.67,19.54,19.54
5.29,6.68,6.68,19.57,19.57
5.29,6.68,6.68,19.61,19.61
5.29,6.68,6.68,19.65,19.65
5.29,6.68,6.68,19.68,19.68
5.29,6.69,6.69,19.72,19.72
5.29,6.69,6.69,19.75,19.75
5.30,6.69,6.69,19.79,19.79
5.30,6.70,6.70,19.82,19.82
5.30,6.70,6.70,19.86,19.86
5.30,6.70,6.70,19.90,19.90
5.30,6.70,6.70,19.93,19.93
5.30,6.71,6.71,19.97,19.97
5.30,6.71,6.71,20.00,20.00
5.30,6.71,6.71,20.04,20.04
5.30,6.72,6.72,20.08,20.08
5.30,6.72,6.72,20.11,20.11
5.31,6.72,6.72,20.15,20.15
5.31,6.73,6.73,20.18,20.18
5.31,6.73,6.73,20.22,20.22
5.31,6.73,6.73,20.26,20.26
5.31,6.73,6.73,20.29,20.29
5.31,6.74,6.74,20.33,20.33
5.31,6.74,6.74,20.36,20.36
5.31,6.74,6.74,20.40,20.40
5.31,6.75,6.75,20.44,20.44
5.32,6.75,6.75,20.47,20.47
5.32,6.75,6.75,20.51,20.51
5.32,6.75,6.75,20.54,20.54
5.32,6.76,6.76,20.58,20.58
5.32,6.76,6.76,20.62,20.62
5.32,6.76,6.76,20.65,20.65
5.32,6.77,6.77,20.69,20.69
5.32,6.77,6.77,20.72,20.72
5.32,6.77,6.77,20.76,20.76
5.33,6.78,6.78,20.80,20.80
5.33,6.78,6.78,20.83,20.83
5.33,6.78,6.78,20.87,20.87
5.33,6.78,6.78,20.90,20.90
5.33,6.79,6.79,20.94,20.94
5.33,6.79,6.79,20.98,20.98
5.33,6.79,6.79,21.01,21.01
5.33,6.80,6.80,21.05,21.05
5.33,6.80,6.80,21.08,21.08
5.34,6.80,6.80,21.12,21.12
5.34,6.80,6.80,21.16,21.16
5.34,6.81,6.81,21.19,21.19
5.34,6.81,6.81,21.23,21.23
5.34,6.81,6.81,21.26,21.26
5.34,6.82,6.82,21.30,21.30
5.34,6.82,6.82,21.34,21.34
5.34,6.82,6.82,21.37,21.37
5.34,6.83,6.83,21.41,21.41
5.35,6.83,6.83,21.44,21.44
5.35,6.83,6.83,21.48,21.48
5.35,6.83,6.83,21.52,21.52
5.35,6.84,6.84,21.55,21.55
5.35,6.84,6.84,21.59,21.59
5.35,6.84,6.84,21.62,21.62
5.35,6.85,6.85,21.66,21.66
5.35,6.85,6.85,21.70,21.70
5.36,6.85,6.85,21.73,21.73
5.36,6.85,6.85,21.77,21.77
5.36,6.86,6.86,21.80,21.80
5.36,6.86,6.86,21.84,21.84
5.36,6.86,6.86,21.88,21.88
5.36,6.87,6.87,21.91,21.91
5.36,6.87,6.87,21.95,21.95
5.36,6.87,6.87,21.98,21.98
5.36,6.87,6.87,22.02,22.02
5.37,6.88,6.88,22.06,22.06
5.37,6.88,6.88,22.09,22.09
5.37,6.88,6.88,22.13,22.13
5.37,6.89,6.89,22.16,22.16
5.37,6.89,6.89,22.20,22.20
5.37,6.89,6.89,22.24,22.24
5.37,6.90,6.90,22.27,22.27
5.37,6.90,6.90,22.31,22.31
5.38,6.90,6.90,22.34,22.34
5.38,6.90,6.90,22.38,22.38
5.38,6.91,6.91,22.42,22.42
5.38,6.91,6.91,22.45,22.45
5.38,6.91,6.91,22.49,22.49
5.38,6.92,6.92,22.52,22.52
5.38,6.92,6.92,22.56,22.56
5.38,6.92,6.92,22.60,22.60
5.39,6.92,6.92,22.63,22.63
5.39,6.93,6.93,22.67,22.67
5.39,6.93,6.93,22.70,22.70
5.39,6.93,6.93,22.74,22.74
5.39,6.94,6.94,22.78,22.78
5.39,6.94,6.94,22.81,22.81
5.39,6.94,6.94,22.85,22.85
5.39,6.94,6.94,22.88,22.88
5.39,6.95,6.95,22.92,22.92
5.40,6.95,6.95,22.96,22.96
5.40,6.95,6.95,22.99,22.99
5.40,6.96,6.96,23.03,23.03
5.40,6.96,6.96,23.06,23.06
5.40,6.96,6.96,23.10,23.10
5.40,6.96,6.96,23.14,23.14
5.40,6.97,6.97,23.17,23.17
5.40,6.97,6.97,23.21,23.21
5.41,6.97,6.97,23.24,23.24
5.41,6.98,6.98,23.28,23.28
5.41,6.98,6.98,23.32,23.32
5.41,6.98,6.98,23.35,23.35
5.41,6.98,6.98,23.39,23.39
5.41,6.99,6.99,23.42,23.42
5.41,6.99,6.99,23.46,23.46
5.41,6.99,6.99,23.50,23.50
5.42,7.00,7.00,23.53,23.53
5.42,7.00,7.00,23.57,23.57
5.42,7.00,7.00,23.60,23.60
5.42,7.00,7.00,23.64,23.64
5.42,7.01,7.01,23.68,23.68
5.42,7.01,7.01,23.71,23.71
5.42,7.01,7.01,23.75,23.75
5.42,7.02,7.02,23.78,23.78
5.43,7.02,7.02,23.82,23.82
5.43,7.02,7.02,23.86,23.86
5.43,7.03,7.03,23.89,23.89
5.43,7.03,7.03,23.93,23.93
5.43,7.03,7.03,23.96,23.96
5.43,7.03,7.03,24.00,24.00
5.43,7.04,7.04,24.04,24.04
5.43,7.04,7.04,24.07,24.07
5.44,7.04,7.04,24.11,24.11
5.44,7.05,7.05,24.14,24.14
5.44,7.05,7.05,24.18,24.18
5.44,7.05,7.05,24.22,24.22
5.44,7.05,7.05,24.25,24.25
5.44,7.06,7.06,24.29,24.29
5.44,7.06,7.06,24.32,24.32
5.45,7.06,7.06,24.36,24.36
5.45,7.07,7.07,24.40,24.40
5.45,7.07,7.07,24.43,24.43
5.45,7.07,7.07,24.47,24.47
5.45,7.07,7.07,24.50,24.50
5.45,7.08,7.08,24.54,24.54
5.45,7.08,7.08,24.58,24.58
5.45,7.08,7.08,24.61,24.61
5.46,7.09,7.09,24.65,24.65
5.46,7.09,7.09,24.68,24.68
5.46,7.09,7.09,24.72,24.72
5.46,7.09,7.09,24.76,24.76
5.46,7.10,7.10,24.79,24.79
5.46,7.10,7.10,24.83,24.83
5.46,7.10,7.10,24.86,24.86
5.46,7.11,7.11,24.90,24.90
5.47,7.11,7.11,24.94,24.94
5.47,7.11,7.11,24.97,24.97
5.47,7.11,7.11,25.01,25.01
5.47,7.12,7.12,25.04,25.04
5.47,7.12,7.12,25.08,25.08
5.47,7.12,7.12,25.12,25.12
5.47,7.13,7.13,25.15,25.15
5.48,7.13,7.13,25.19,25.19
5.48,7.13,7.13,25.22,25.22
5.48,7.13,7.13,25.26,25.26
5.48,7.14,7.14,25.30,25.30
5.48,7.14,7.14,25.33,25.33
5.48,7.14,7.14,25.37,25.37
5.48,7.14,7.14,25.40,25.40
5.48,7.15,7.15,25.44,25.44
5.49,7.15,7.15,25.47,25.47
5.49,7.15,7.15,25.51,25.51
5.49,7.16,7.16,25.55,25.55
5.49,7.16,7.16,25.58,25.58
5.49,7.16,7.16,25.62,25.62
5.49,7.16,7.16,25.65,25.65
5.49,7.17,7.17,25.69,25.69
5.50,7.17,7.17,25.73,25.73
5.50,7.17,7.17,25.76,25.76
5.50,7.18,7.18,25.80,25.80
5.50,7.18,7.18,25.83,25.83
5.50,7.18,7.18,25.87,25.87
5.50,7.18,7.18,25.91,25.91
5.50,7.19,7.19,25.94,25.94
5.51,7.19,7.19,25.98,25.98
5.51,7.19,7.19,26.01,26.01
5.51,7.20,7.20,26.05,26.05
5.51,7.20,7.20,26.09,26.09
5.51,7.20,7.20,26.12,26.12
5.51,7.20,7.20,26.16,26.16
5.51,7.21,7.21,26.19,26.19
5.51,7.21,7.21,26.23,26.23
5.52,7.21,7.21,26.27,26.27
5.52,7.22,7.22,26.30,26.30
5.52,7.22,7.22,26.34,26.34
5.52,7.22,7.22,26.37,26.37
5.52,7.22,7.22,26.41,26.41
5.52,7.23,7.23,26.45,26.45
5.52,7.23,7.23,26.48,26.48
5.53,7.23,7.23,26.52,26.52
5.53,7.24,7.24,26.55,26.55
5.53,7.24,7.24,26.59,26.59
5.53,7.24,7.24,26.63,26.63
5.53,7.24,7.24,26.66,26.66
5.53,7.25,7.25,26.70,26.70
5.53,7.25,7.25,26.73,26.73
5.54,7.25,7.25,26.77,26.77
5.54,7.25,7.25,26.81,26.81
5.54,7.26,7.26,26.84,26.84
5.54,7.26,7.26,26.88,26.88
5.54,7.26,7.26,26.91,26.91
5.54,7.27,7.27,26.95,26.95
5.54,7.27,7.27,26.99,26.99
5.55,7.27,7.27,27.02,27.02
5.55,7.27,7.27,27.06,27.06
5.55,7.28,7.28,27.09,27.09
5.55,7.28,7.28,27.13,27.13
5.55,7.28,7.28,27.17,27.17
5.55,7.29,7.29,27.20,27.20
5.55,7.29,7.29,27.24,27.24
5.56,7.29,7.29,27.27,27.27
5.56,7.29,7.29,27.31,27.31
5.56,7.30,7.30,27.35,27.35
5.56,7.30,7.30,27.38,27.38
5.56,7.30,7.30,27.42,27.42
5.56,7.31,7.31,27.45,27.45
5.56,7.31,7.31,27.49,27.49
5.57,7.31,7.31,27.53,27.53
5.57,7.31,7.31,27.56,27.56
5.57,7.32,7.32,27.60,27.60
5.57,7.32,7.32,27.63,27.63
5.57,7.32,7.32,27.67,27.67
5.57,7.32,7.32,27.71,27.71
5.57,7.33,7.33,27.74,27.74
5.58,7.33,7.33,27.78,27.78
5.58,7.33,7.33,27.81,27.81
5.58,7.34,7.34,27.85,27.85
5.58,7.34,7.34,27.89,27.89
5.58,7.34,7.34,27.92,27.92
5.58,7.34,7.34,27.96,27.96
5.59,7.35,7.35,27.99,27.99
5.59,7.35,7.35,28.03,28.03
5.59,7.35,7.35,28.07,28.07
5.59,7.36,7.36,28.10,28.10
5.59,7.36,7.36,28.14,28.14
5.59,7.36,7.36,28.17,28.17
5.59,7.36,7.36,28.21,28.21
5.60,7.37,7.37,28.25,28.25
5.60,7.37,7.37,28.28,28.28
5.60,7.37,7.37,28.32,28.32
5.60,7.37,7.37,28.35,28.35
5.60,7.38,7.38,28.39,28.39
5.60,7.38,7.38,28.43,28.43
5.60,7.38,7.38,28.46,28.46
5.61,7.39,7.39,28.50,28.50
5.61,7.39,7.39,28.53,28.53
5.61,7.39,7.39,28.57,28.57
5.61,7.39,7.39,28.61,28.61
5.61,7.40,7.40,28.64,28.64
5.61,7.40,7.40,28.68,28.68
5.61,7.40,7.40,28.71,28.71
5.62,7.40,7.40,28.75,28.75
5.62,7.41,7.41,28.79,28.79
5.62,7.41,7.41,28.82,28.82
5.62,7.41,7.41,28.86,28.86
5.62,7.42,7.42,28.89,28.89
5.62,7.42,7.42,28.93,28.93
5.63,7.42,7.42,28.97,28.97
5.63,7.42,7.42,29.00,29.00
5.63,7.43,7.43,29.04,29.04
5.63,7.43,7.43,29.07,29.07
5.63,7.43,7.43,29.11,29.11
5.63,7.44,7.44,29.15,29.15
5.63,7.44,7.44,29.18,29.18
5.64,7.44,7.44,29.22,29.22
5.64,7.44,7.44,29.25,29.25
5.64,7.45,7.45,29.29,29.29
5.64,7.45,7.45,29.33,29.33
5.64,7.45,7.45,29.36,29.36
5.64,7.45,7.45,29.40,29.40
5.65,7.46,7.46,29.43,29.43
5.65,7.46,7.46,29.47,29.47
5.65,7.46,7.46,29.51,29.51
5.65,7.47,7.47,29.54,29.54
5.65,7.47,7.47,29.58,29.58
5.65,7.47,7.47,29.61,29.61
5.65,7.47,7.47,29.65,29.65
5.66,7.48,7.48,29.69,29.69
5.66,7.48,7.48,29.72,29.72
5.66,7.48,7.48,29.76,29.76
5.66,7.48,7.48,29.79,29.79
5.66,7.49,7.49,29.83,29.83
5.66,7.49,7.49,29.87,29.87
5.67,7.49,7.49,29.90,29.90
5.67,7.50,7.50,29.94,29.94
5.67,7.50,7.50,29.97,29.97
5.67,7.50,7.50,30.01,30.01
5.67,7.50,7.50,30.05,30.05
5.67,7.51,7.51,30.08,30.08
5.68,7.51,7.51,30.12,30.12
5.68,7.51,7.51,30.15,30.15
5.68,7.51,7.51,30.19,30.19
5.68,7.52,7.52,30.23,30.23
5.68,7.52,7.52,30.26,30.26
5.68,7.52,7.52,30.30,30.30
5.68,7.53,7.53,30.33,30.33
5.69,7.53,7.53,30.37,30.37
5.69,7.53,7.53,30.41,30.41
5.69,7.53,7.53,30.44,30.44
5.69,7.54,7.54,30.48,30.48
5.69,7.54,7.54,30.51,30.51
5.69,7.54,7.54,30.55,30.55
5.70,7.54,7.54,30.59,30.59
5.70,7.55,7.55,30.62,30.62
5.70,7.55,7.55,30.66,30.66
5.70,7.55,7.55,30.69,30.69
5.70,7.55,7.55,30.73,30.73
5.70,7.56,7.56,30.77,30.77
5.71,7.56,7.56,30.80,30.80
5.71,7.56,7.56,30.84,30.84
5.71,7.57,7.57,30.87,30.87
5.71,7.57,7.57,30.91,30.91
5.71,7.57,7.57,30.95,30.95
5.71,7.57,7.57,30.98,30.98
5.71,7.58,7.58,31.02,31.02
5.72,7.58,7.58,31.05,31.05
5.72,7.58,7.58,31.09,31.09
5.72,7.58,7.58,31.12,31.12
5.72,7.59,7.59,31.16,31.16
5.72,7.59,7.59,31.20,31.20
5.72,7.59,7.59,31.23,31.23
5.73,7.60,7.60,31.27,31.27
5.73,7.60,7.60,31.30,31.30
5.73,7.60,7.60,31.34,31.34
5.73,7.60,7.60,31.38,31.38
5.73,7.61,7.61,31.41,31.41
5.73,7.61,7.61,31.45,31.45
5.74,7.61,7.61,31.48,31.48
5.74,7.61,7.61,31.52,31.52
5.74,7.62,7.62,31.56,31.56
5.74,7.62,7.62,31.59,31.59
5.74,7.62,7.62,31.63,31.63
5.74,7.62,7.62,31.66,31.66
5.75,7.63,7.63,31.70,31.70
5.75,7.63,7.63,31.74,31.74
5.75,7.63,7.63,31.77,31.77
5.75,7.64,7.64,31.81,31.81
5.75,7.64,7.64,31.84,31.84
5.75,7.64,7.64,31.88,31.88
5.76,7.64,7.64,31.92,31.92
5.76,7.65,7.65,31.95,31.95
5.76,7.65,7.65,31.99,31.99
5.76,7.65,7.65,32.02,32.02
5.76,7.65,7.65,32.06,32.06
5.76,7.66,7.66,32.10,32.10
5.77,7.66,7.66,32.13,32.13
5.77,7.66,7.66,32.17,32.17
5.77,7.66,7.66,32.20,32.20
5.77,7.67,7.67,32.24,32.24
5.77,7.67,7.67,32.28,32.28
5.77,7.67,7.67,32.31,32.31
5.78,7.68,7.68,32.35,32.35
5.78,7.68,7.68,32.38,32.38
5.78,7.68,7.68,32.42,32.42
5.78,7.68,7.68,32.46,32.46
5.78,7.69,7.69,32.49,32.49
5.78,7.69,7.69,32.53,32.53
5.79,7.69,7.69,32.56,32.56
5.79,7.69,7.69,32.60,32.60
5.79,7.70,7.70,32.64,32.64
5.79,7.70,7.70,32.67,32.67
5.79,7.70,7.70,32.71,32.71
5.79,7.70,7.70,32.74,32.74
5.80,7.71,7.71,32.78,32.78
5.80,7.71,7.71,32.82,32.82
5.80,7.71,7.71,32.85,32.85
5.80,7.72,7.72,32.89,32.89
5.80,7.72,7.72,32.92,32.92
5.80,7.72,7.72,32.96,32.96
5.81,7.72,7.72,33.00,33.00
5.81,7.73,7.73,33.03,33.03
5.81,7.73,7.73,33.07,33.07
5.81,7.73,7.73,33.10,33.10
5.81,7.73,7.73,33.14,33.14
5.82,7.74,7.74,33.18,33.18
5.82,7.74,7.74,33.21,33.21
5.82,7.74,7.74,33.25,33.25
5.82,7.74,7.74,33.28,33.28
5.82,7.75,7.75,33.32,33.32
5.82,7.75,7.75,33.36,33.36
5.83,7.75,7.75,33.39,33.39
5.83,7.75,7.75,33.43,33.43
5.83,7.76,7.76,33.46,33.46
5.83,7.76,7.76,33.50,33.50
5.83,7.76,7.76,33.54,33.54
5.83,7.76,7.76,33.57,33.57
5.84,7.77,7.77,33.61,33.61
5.84,7.77,7.77,33.64,33.64
5.84,7.77,7.77,33.68,33.68
5.84,7.78,7.78,33.72,33.72
5.84,7.78,7.78,33.75,33.75
5.84,7.78,7.78,33.79,33.79
5.85,7.78,7.78,33.82,33.82
5.85,7.79,7.79,33.86,33.86
5.85,7.79,7.79,33.90,33.90
5.85,7.79,7.79,33.93,33.93
5.85,7.79,7.79,33.97,33.97
5.86,7.80,7.80,34.00,34.00
5.86,7.80,7.80,34.04,34.04
5.86,7.80,7.80,34.08,34.08
5.86,7.80,7.80,34.11,34.11
5.86,7.81,7.81,34.15,34.15
5.86,7.81,7.81,34.18,34.18
5.87,7.81,7.81,34.22,34.22
5.87,7.81,7.81,34.26,34.26
5.87,7.82,7.82,34.29,34.29
5.87,7.82,7.82,34.33,34.33
5.87,7.82,7.82,34.36,34.36
5.87,7.82,7.82,34.40,34.40
5.88,7.83,7.83,34.44,34.44
5.88,7.83,7.83,34.47,34.47
5.88,7.83,7.83,34.51,34.51
5.88,7.84,7.84,34.54,34.54
5.88,7.84,7.84,34.58,34.58
5.89,7.84,7.84,34.62,34.62
5.89,7.84,7.84,34.65,34.65
5.89,7.85,7.85,34.69,34.69
5.89,7.85,7.85,34.72,34.72
5.89,7.85,7.85,34.76,34.76
5.89,7.85,7.85,34.80,34.80
5.90,7.86,7.86,34.83,34.83
5.90,7.86,7.86,34.87,34.87
5.90,7.86,7.86,34.90,34.90
5.90,7.86,7.86,34.94,34.94
5.90,7.87,7.87,34.98,34.98
5.90,7.87,7.87,35.01,35.01
5.91,7.87,7.87,35.05,35.05
5.91,7.87,7.87,35.08,35.08
5.91,7.88,7.88,35.12,35.12
5.91,7.88,7.88,35.16,35.16
5.91,7.88,7.88,35.19,35.19
5.92,7.88,7.88,35.23,35.23
5.92,7.89,7.89,35.26,35.26
5.92,7.89,7.89,35.30,35.30
5.92,7.89,7.89,35.34,35.34
5.92,7.89,7.89,35.37,35.37
5.92,7.90,7.90,35.41,35.41
5.93,7.90,7.90,35.44,35.44
5.93,7.90,7.90,35.48,35.48
5.93,7.90,7.90,35.52,35.52
5.93,7.91,7.91,35.55,35.55
5.93,7.91,7.91,35.59,35.59
5.94,7.91,7.91,35.62,35.62
5.94,7.91,7.91,35.66,35.66
5.94,7.92,7.92,35.70,35.70
5.94,7.92,7.92,35.73,35.73
5.94,7.92,7.92,35.77,35.77
5.94,7.93,7.93,35.80,35.80
5.95,7.93,7.93,35.84,35.84
5.95,7.93,7.93,35.88,35.88
5.95,7.93,7.93,35.91,35.91
5.95,7.94,7.94,35.95,35.95
5.95,7.94,7.94,35.98,35.98
5.96,7.94,7.94,36.02,36.02
5.96,7.94,7.94,36.06,36.06
5.96,7.95,7.95,36.09,36.09
5.96,7.95,7.95,36.13,36.13
5.96,7.95,7.95,36.16,36.16
5.97,7.95,7.95,36.20,36.20
5.97,7.96,7.96,36.24,36.24
5.97,7.96,7.96,36.27,36.27
5.97,7.96,7.96,36.31,36.31
5.97,7.96,7.96,36.34,36.34
5.97,7.97,7.97,36.38,36.38
5.98,7.97,7.97,36.42,36.42
5.98,7.97,7.97,36.45,36.45
5.98,7.97,7.97,36.49,36.49
5.98,7.98,7.98,36.52,36.52
5.98,7.98,7.98,36.56,36.56
5.99,7.98,7.98,36.59,36.59
5.99,7.98,7.98,36.63,36.63
5.99,7.99,7.99,36.67,36.67
5.99,7.99,7.99,36.70,36.70
5.99,7.99,7.99,36.74,36.74
6.00,7.99,7.99,36.77,36.77
6.00,8.00,8.00,36.81,36.81
6.00,8.00,8.00,36.85,36.85
6.00,8.00,8.00,36.88,36.88
6.00,8.00,8.00,36.92,36.92
6.00,8.01,8.01,36.95,36.95
6.01,8.01,8.01,36.99,36.99
6.01,8.01,8.01,37.03,37.03
6.01,8.01,8.01,37.06,37.06
6.01,8.02,8.02,37.10,37.10
6.01,8.02,8.02,37.13,37.13
6.02,8.02,8.02,37.17,37.17
6.02,8.02,8.02,37.21,37.21
6.02,8.03,8.03,37.24,37.24
6.02,8.03,8.03,37.28,37.28
6.02,8.03,8.03,37.31,37.31
6.03,8.03,8.03,37.35,37.35
6.03,8.04,8.04,37.39,37.39
6.03,8.04,8.04,37.42,37.42
6.03,8.04,8.04,37.46,37.46
6.03,8.04,8.04,37.49,37.49
6.03,8.05,8.05,37.53,37.53
6.04,8.05,8.05,37.57,37.57
6.04,8.05,8.05,37.60,37.60
6.04,8.05,8.05,37.64,37.64
6.04,8.06,8.06,37.67,37.67
